index	Name	Description	Attack_Type	BuffID	BuffLv	BuffElv	BuffID_Check	BuffLv_Check	BuffElv_Check	Buff_Icon	Buff_IconIndex	Buff_Name	Buff_Description	EffectType	Require1_Type	Require1_ID	Require1_Value1	Require1_ValueElv1	Require1_Value2	Require1_ValueElv2	Require2_Type	Require2_ID	Require2_Value1	Require2_ValueElv1	Require2_Value2	Require2_ValueElv2	Apply_Probability	Apply_ProbabilityElv	ApplyTime	ApplyTimeElv	MissileType	FxMissile_Target	FxMissileSpeed_Target	Fx_Target	Sound_Target	Fx_Caster	Sound_Caster	AttachmentPoint_Target	AttachmentFx_Target	RequireEquipType	RequireItemKind	RequireAction	RequireStand	EffectEquipType	EffectItemKind	EffectAction	EffectStand	StatusEffect	StatusEffectType	EffectParameter1	EffectParameter2	EffectParameter3	EffectParameter4	EffectParameter5	EffectParameter6	EffectParameter7	EffectParameter8	EffectParameter9	EffectDelayTime	EffectDelayTimeElv	EffectValueType	SaveCheck	Broadcast	Translucency	Target_Dam_Factor	Effect_Start_Delay	BuffGroup_Check	Log	Colouring_C	Colouring_M
25003001	熟練雙手劍[初級]		0	0	0	0	0	0	0	0	0			2	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	4	0	1	3	176	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1.000000	0	0	0	0	0
25003201	熟練雙手劍[上級]		0	0	0	0	0	0	0	0	0			2	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	4	0	1	3	176	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	1.000000	0	0	0	0	0
21002301	縱橫無盡物理攻擊		104	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15024	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	-20	8	0	12	0	0	0	0	0	0	0	0	0	1	0	3.300000	0	0	0	0	0
21003201	疾風迅雷物理攻擊		104	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15024	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	20	14	10	30	0	0	0	0	0	0	0	0	0	1	0	3.300000	0	0	0	0	0
21001301	飛翔斬物理攻擊		104	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15024	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	100	25	100	40	0	0	0	0	0	0	0	0	0	1	0	3.300000	0	0	0	0	0
21004901	飛影連斬物理攻擊		104	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15024	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	-10	14	0	18	0	0	0	0	0	0	0	0	0	1	0	3.300000	0	0	0	0	0
21006701	風捲連刃物理攻擊		104	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15022	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	50	30	0	30	0	0	0	0	0	0	0	0	0	1	0	3.300000	0	0	0	0	0
25006001	熟練槍[初級]		0	0	0	0	0	0	0	0	0			2	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	8	0	1	3	176	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1.000000	0	0	0	0	0
21002501	狂風槍物理攻擊_1		100	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15024	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	10	15	0	20	0	0	0	0	0	0	0	0	0	1	0	3.300000	0	0	0	0	0
21002502	狂風槍物理攻擊_2		105	0	0	0	99	0	0	0	0			1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	15024	13	0	0	0	0	0	0	0	1	0	0	0	1	1	10001	10	15	0	20	0	0	0	0	0	0	0	0	0	1	0	3.300000	0	0	0	0	0
