index	STRING	DESC
10001	戰士:\n攻擊力為中心成長。初級者也可以安心選擇的職業。	??? ???. ?? ??? ??
10002	騎士:\n體力為中心成長。為同伴阻擋敵人攻擊的組隊的領導型角色。	??? ???. ?? ??? ??
10003	法師:\n可以使用魔法的唯一角色，可以使用各種屬性的魔法。	??? ???. ??? ??? ??
10004	遊俠:\n可以學習各種輔助技能。非戰鬥狀態時也可以發揮力量。	??? ???. ??? ??? ??
20000	Lv.%d	??? ?? ?. ?? ??. ?? ??.
20001	戰士	??? ?? ?. ?? ??
20002	騎士	??? ?? ?. ?? ??
20003	法師	??? ?? ?. ?? ??
20004	遊俠	??? ?? ?. ?? ??
20005	督軍	??? ?? ?. ?? ??
20006	劍鬥士	??? ?? ?. ?? ??
20007	聖殿騎士	??? ?? ?. ?? ??
20008	武術家	??? ?? ?. ?? ??
20009	魔導士	??? ?? ?. ?? ??
20010	吟遊詩人	??? ?? ?. ?? ??
20011	寶藏獵人	??? ?? ?. ?? ??
20012	神槍手	??? ?? ?. ?? ??
30000	連接中	??? ??. ?? ???
30001	不存在的帳號。	??? ??. ??? ?? ???.
30002	密碼錯誤。	??? ??. ?? ?? ?? ???.
30003	遊戲中已有相同的帳號。\n稍後請重新連接。	??? ??. ??? ?? ?? ?? ???.
30004	該帳號已停止使用。\n詳細內容請確認官方網站。	??? ??. ??? ?? ???.
30005	伺服器正在維護。\n詳細內容請確認官方網站。	??? ??. ?? ?? ???.
30006	版本錯誤。	??? ??, ????? ????
30007	連接失敗。	??? ??. ?? ?? ???
30008	現在因為連接爆增，連接延遲。\n請稍等。	??? ??, ??? 3??? ???? ?? ??? ???
30009	帳號或密碼錯誤。	??? ??. ??? ?? ???? ?? ???.
30010	請重新運行。	??? ??? ?????? ??? ?? ??? ?? ?? ???
30011	很抱歉，現在GM為了確認您的帳號資訊，限制連接，請諒解。	??? ??. ???? ???
30012	原始檔案版本錯誤。	? ??? ?? ??
30021	為了登錄遊戲，請登錄官方網站後，註冊萌萌彩虹島遊戲。	
30022	帳號認證失敗。重新連接，或請參考官方網站的公告。	??? ??? ???? ??
30023	現在的區域登入不了萌萌彩虹島。感謝您對萌萌彩虹島的關心。	??? ??? ?? ?? ?? ?(?? ??)
30024	該IP不能登錄萌萌彩虹島。	??? ??? ?? ?? ?? ?(?? ???)?? ?? ?? ???
30025	IP已更改。請諮詢網路系統管理員。	
30026	您的身份證輸入錯誤	 (??? ??? ?? ??? ?????.) ?? ??? ?? ?? ??
30027	IP?? ???? ?? ? IP? ????. ???? ???? ?????? ?? ? ???.	???? IP?? ??
40000	正在生成角色。	??? ?? ??. ??? ?? ?? ???
40001	該名字已使用。\n請輸入其他名字。	??? ?? ??. ??? ?? ?? ???
40002	是不可以使用的名字。	??? ?? ??. ??? ?? ?? ???. ABUSE ?? ??? 
40003	角色名字長度錯誤。	??? ?? ??. ??? ?? ?? ???. ?? ?? ?? ???.
40004	角色名字中包含了不允許的文字。	??? ?? ??. ??? ?? ?? ???. ?? ?? ?? ???? ?? ?? ?? ?
50001	玩家已滿。\n請使用其他分流。	?? ?? ????. ?? ?? ?? ???
50002	伺服器正在維護。詳細內容請參考官方網站。	?? ?? ????. ?? ?? ???(??? ??? ? ?? ??).
60000	連接中。\n請稍等。	??? ????. ?? ?? ?? ?? ???
60001	玩家已滿。\n請使用其他分流。	??? ????. ?? ?? ?? ???
60002	伺服器正在維護。	??? ????. ?? ?? ???(??? ??? ? ?? ??).
60010	正在刪除角色。	??? ????. ??? ?? ?? ???
60011	我要刪除	??? ????. ??? ?? ???
60021	刪除角色30次以上，所以不能再刪除角色。	??? ????. ??? 30? ?? ?? ? ?? ???
70000	未知錯誤。	?? ?? ? ??? ?? ???
70001	流暢	?? ???. ???? ?? ?? ?
70002	一般	?? ???. ???? ??? ?
70003	擁擠	?? ???. ???? ?? ?
70004	超時	?? ???. ???? ????? ?
80001	正在下載地圖列表。\n請稍等。	
80002	正在下載分流清單。\n請稍等。	
80003	正在下載角色列表。\n請稍等。	
80011	因為玩家資訊問題，連接伺服器延遲。	??1 : ???? ??? ????? ????
80012	因為角色資訊問題，連接伺服器延遲。	??2 : ?????? ?(?????? ???)?? ??
80013	伺服器連接延遲。	??3 : ???????? ????(?? ??????? ??? ??? ??????? ??????
80014	伺服器無回應。請稍後重新試一下。	Time out ???
90001	密碼鍵不一致。	?? ?????? ??????
90002	安全模式已更新。請重新登錄遊戲，更新安全模式。	??? ???? ??
1000011	戰鬥裝備	??? ?? ??. Type: ??(1), SubType: ??(1)
1000012	時裝裝備	??? ?? ??. Type: ??(1), SubType: ??(2)
1000013	寶石	??? ?? ??. Type: ??(1), SubType: ??(3)
1000021	消耗	??? ?? ??. Type: ??(2), SubType: ??(1)
1000022	喊話	??? ?? ??. Type: ??(2), SubType: ???(2)
1000023	消耗	??? ?? ??. Type: ??(2), SubType: ???(3)
1000030	其他	??? ?? ??. Type: ??(3), SubType: null(0)
1000031	鑲嵌材料	??? ?? ??. Type: ??(3), SubType: ???(1)
1000040	活動	??? ?? ??. Type: ???(4), SubType: null(0)
1000051	寵物裝備	??? ?? ??. Type: ?(5), SubType: ???(1)
1000052	寵物消耗	??? ?? ??. Type: ?(5), SubType: ???(2)
1000060	小屋	??? ?? ??. Type: ???(6), SubType: null(0)
1010001	職業:	??? ?? ?? ??. RequireType: CLASS(1) 
1010002	性別:	??? ?? ?? ??. RequireType: GENDER(2)
1010003	使用等級:%d	??? ?? ?? ??. RequireType: LV(3) 
1020010	名聲%+d	??? ??? ??.
1020011	名聲%+d%%	??? ??? ??.
1020014	力量%+d	??? ??? ??.
1020015	力量%+d%%	??? ??? ??.
1020018	幸運%+d	??? ??? ??.
1020019	幸運%+d%%	??? ??? ??.
1020022	魔力%+d	??? ??? ??.
1020023	魔力%+d%%	??? ??? ??.
1020026	體力%+d	??? ??? ??.
1020027	體力%+d%%	??? ??? ??.
1020030	最大HP%+d	??? ??? ??.
1020031	最大HP%+d%%	??? ??? ??.
1020034	最大SP%+d	??? ??? ??.
1020035	最大SP%+d%%	??? ??? ??.
1020038	水屬性%+d	??? ??? ??.
1020039	水屬性%+d%%	??? ??? ??.
1020042	風屬性%+d	??? ??? ??.
1020043	風屬性%+d%%	??? ??? ??.
1020046	火屬性%+d	??? ??? ??.
1020047	火屬性%+d%%	??? ??? ??.
1020050	地屬性%+d	??? ??? ??.
1020051	地屬性%+d%%	??? ??? ??.
1020054	休息恢復HP%+d	??? ??? ??.
1020055	休息恢復HP%+d%%	??? ??? ??.
1020058	休息恢復SP%+d	??? ??? ??.
1020059	休息恢復SP%+d%%	??? ??? ??.
1020062	最大攻擊力%+d	??? ??? ??.
1020063	最大攻擊力%+d%%	??? ??? ??.
1020066	最小攻擊力%+d	??? ??? ??.
1020067	最小攻擊力%+d%%	??? ??? ??.
1020070	水抵抗力%+d	??? ??? ??.
1020071	水抵抗力%+d%%	??? ??? ??.
1020074	風抵抗力%+d	??? ??? ??.
1020075	風抵抗力%+d%%	??? ??? ??.
1020078	火抵抗力%+d	??? ??? ??.
1020079	火抵抗力%+d%%	??? ??? ??.
1020082	地抵抗力%+d	??? ??? ??.
1020083	地抵抗力%+d%%	??? ??? ??.
1020086	減少傷害%+d%%	??? ??? ??.
1020087	減少傷害%+d%%	??? ??? ??.
1020090	物理最小傷害%+d%%	??? ??? ??.
1020091	物理最小傷害%+d%%	??? ??? ??.
1020094	物理最大傷害%+d%%	??? ??? ??.
1020095	物理最大傷害%+d%%	??? ??? ??.
1020098	魔法最小傷害%+d%%	??? ??? ??.
1020099	魔法最小傷害%+d%%	??? ??? ??.
1020102	魔法最大傷害%+d%%	??? ??? ??.
1020103	魔法最大傷害%+d%%	??? ??? ??.
1020106	移動速度%+d%%	??? ??? ??.
1020107	移動速度%+d%%	??? ??? ??.
1020110	彈跳力%d%%	??? ??? ??.
1020111	彈跳力%d%%	??? ??? ??.
1020114	繩索移動速度%+d%%	??? ??? ??.
1020115	繩索移動速度%+d%%	??? ??? ??.
1020118	梯子移動速度%+d%%	??? ??? ??.
1020119	梯子移動速度%+d%%	??? ??? ??.
1020121	技能點數%+d	??? ??? ??.
