index	Category	Num	ColorID	Name	Description	Use_Type	Icon	IconIndex	GamePrice	CashPrice	CashCheck	Update_Date	RareLimit	Type	SubType	PosID1	SubPosID11	SubPosID12	PosID2	SubPosID21	SubPosID22	Kind	StatusType1	StatusValue1	StatusType2	StatusValue2	StatusType3	StatusValue3	StatusType4	StatusValue4	StatusType5	StatusValue5	StatusType6	StatusValue6	StatusType7	StatusValue7	StatusType8	StatusValue8	Require1_Type	Require1_ID	Require1_Value1	Require1_Value2	Require2_Type	Require2_ID	Require2_Value1	Require2_Value2	Require3_Type	Require3_ID	Require3_Value1	Require3_Value2	Require4_Type	Require4_ID	Require4_Value1	Require4_Value2	CoolTime1	CoolTime2	CoolTimeApplyID1	CoolTimeApplyID2	ItemCoolTimeID	DurationTime	StackLimit	ItemLv	Logging	Serialized	Trade	Destroy	Storage	Sell	ItemPointMin	ItemPointMax	OptionID1	OptionID2	OptionID3	OptionID4	MotionTypeID1	MotionTypeID2	EffectID1	EffectID2	EffectID3	EffectID4	OptionType	OptionClass	IconMark	NameColor	Red	Green	Blue	Time_Type	Lifetime	Default_Type	Max_EXP	Limit_EXP	Pet_ClassID	Skill1	SLv1	Consume_SP1	Skill2	SLv2	Consume_SP2	Skill3	SLv3	Consume_SP3	Skill4	SLv4	Consume_SP4	Macro_Type	SetID	QuestID	PvpUse	CashPoint	ItemLvValue	AuctionCategory	AuctionQuality	ShopID	EnchantAllow	WeddingItem	Dec_Cool	MotionTypeID3	Seal_Min_Cnt	Seal_Max_Cnt	Colouring
10310121	103	101	1	（水）皮手鐲			10001100	1	100	0	0	null	5	1	1	7	0	0	0	0	0	0	216	5	144	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2004	0	0	1	0	0	0	0	0	0
20610121	206	101	1	（水）皮襯衫			10001100	2	100	0	0	null	5	1	1	4	0	0	0	0	0	0	216	14	144	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2001	0	0	1	0	0	0	0	0	0
21010121	210	101	1	（水）皮女襯衫			10001100	3	100	0	0	null	5	1	1	4	0	0	0	0	0	0	216	14	144	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2001	0	0	1	0	0	0	0	0	0
30210121	302	101	1	（水）皮褲			10001100	4	100	0	0	null	5	1	1	5	0	0	0	0	0	0	216	11	144	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2002	0	0	1	0	0	0	0	0	0
30410121	304	101	1	（水）皮裙			10001100	5	100	0	0	null	5	1	1	5	0	0	0	0	0	0	216	11	144	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2002	0	0	1	0	0	0	0	0	0
70210121	702	101	1	（水）皮運動鞋			10001100	6	100	0	0	null	5	1	1	8	0	0	0	0	0	0	216	7	144	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2005	0	0	1	0	0	0	0	0	0
90210121	902	101	1	（水）皮髮帶			10001100	7	100	0	0	null	5	1	1	1	0	0	0	0	0	0	216	8	144	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2003	0	0	1	0	0	0	0	0	0
10310131	103	101	1	（風）皮手鐲			10001100	1	100	0	0	null	5	1	1	7	0	0	0	0	0	0	216	5	144	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2004	0	0	1	0	0	0	0	0	0
20610131	206	101	1	（風）皮襯衫			10001100	2	100	0	0	null	5	1	1	4	0	0	0	0	0	0	216	14	144	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2001	0	0	1	0	0	0	0	0	0
21010131	210	101	1	（風）皮女襯衫			10001100	3	100	0	0	null	5	1	1	4	0	0	0	0	0	0	216	14	144	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2001	0	0	1	0	0	0	0	0	0
30210131	302	101	1	（風）皮褲			10001100	4	100	0	0	null	5	1	1	5	0	0	0	0	0	0	216	11	144	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2002	0	0	1	0	0	0	0	0	0
30410131	304	101	1	（風）皮裙			10001100	5	100	0	0	null	5	1	1	5	0	0	0	0	0	0	216	11	144	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2002	0	0	1	0	0	0	0	0	0
70210131	702	101	1	（風）皮運動鞋			10001100	6	100	0	0	null	5	1	1	8	0	0	0	0	0	0	216	7	144	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2005	0	0	1	0	0	0	0	0	0
90210131	902	101	1	（風）皮髮帶			10001100	7	100	0	0	null	5	1	1	1	0	0	0	0	0	0	216	8	144	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2003	0	0	1	0	0	0	0	0	0
10310141	103	101	1	（火）皮手鐲			10001100	1	100	0	0	null	5	1	1	7	0	0	0	0	0	0	216	5	144	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2004	0	0	1	0	0	0	0	0	0
20610141	206	101	1	（火）皮襯衫			10001100	2	100	0	0	null	5	1	1	4	0	0	0	0	0	0	216	14	144	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2001	0	0	1	0	0	0	0	0	0
21010141	210	101	1	（火）皮女襯衫			10001100	3	100	0	0	null	5	1	1	4	0	0	0	0	0	0	216	14	144	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2001	0	0	1	0	0	0	0	0	0
30210141	302	101	1	（火）皮褲			10001100	4	100	0	0	null	5	1	1	5	0	0	0	0	0	0	216	11	144	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2002	0	0	1	0	0	0	0	0	0
30410141	304	101	1	（火）皮裙			10001100	5	100	0	0	null	5	1	1	5	0	0	0	0	0	0	216	11	144	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2002	0	0	1	0	0	0	0	0	0
70210141	702	101	1	（火）皮運動鞋			10001100	6	100	0	0	null	5	1	1	8	0	0	0	0	0	0	216	7	144	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2005	0	0	1	0	0	0	0	0	0
90210141	902	101	1	（火）皮髮帶			10001100	7	100	0	0	null	5	1	1	1	0	0	0	0	0	0	216	8	144	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2003	0	0	1	0	0	0	0	0	0
10310111	103	101	1	（地）皮手鐲			10001100	1	100	0	0	null	5	1	1	7	0	0	0	0	0	0	216	5	144	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2004	0	0	1	0	0	0	0	0	0
20610111	206	101	1	（地）皮襯衫			10001100	2	100	0	0	null	5	1	1	4	0	0	0	0	0	0	216	14	144	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2001	0	0	1	0	0	0	0	0	0
21010111	210	101	1	（地）皮女襯衫			10001100	3	100	0	0	null	5	1	1	4	0	0	0	0	0	0	216	14	144	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2001	0	0	1	0	0	0	0	0	0
30210111	302	101	1	（地）皮褲			10001100	4	100	0	0	null	5	1	1	5	0	0	0	0	0	0	216	11	144	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2002	0	0	1	0	0	0	0	0	0
30410111	304	101	1	（地）皮裙			10001100	5	100	0	0	null	5	1	1	5	0	0	0	0	0	0	216	11	144	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2002	0	0	1	0	0	0	0	0	0
70210111	702	101	1	（地）皮運動鞋			10001100	6	100	0	0	null	5	1	1	8	0	0	0	0	0	0	216	7	144	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2005	0	0	1	0	0	0	0	0	0
90210111	902	101	1	（地）皮髮帶			10001100	7	100	0	0	null	5	1	1	1	0	0	0	0	0	0	216	8	144	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2003	0	0	1	0	0	0	0	0	0
10310122	103	101	2	（水）天然皮手鐲			10001101	1	600	0	0	null	5	1	1	7	0	0	0	0	0	0	216	14	144	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	100	200	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	2004	0	0	1	0	0	0	0	0	0
