index	Name	Description	Type	ImageFile	Range_Width	Range_height	Input1_Left	Input1_Top	Input1_Right	Input1_Bottom	FX1	Text	Array	Margine	Vmargine	StatusType1	StatusValue1	StatusType2	StatusValue2	StatusType3	StatusValue3	StatusType4	StatusValue4	EffectID1	EffectDescription1	EffectID2	EffectDescription2	EffectID3	EffectDescription3	EffectID4	EffectDescription4	Red	Green	Blue
1	不使用稱號	不使用稱號。	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
101	不是新手的冒險家	不是菜鳥的冒險家。…只有這種程度真是可憐。	1		145	16	0	0	0	0	0	1	5	2	1	30	5	0	0	0	0	0	0	0		0		0		0		255	255	183
102	冒險家	現在是偉大的一人冒險家! 朝著冒險 Go!	1		145	16	0	0	0	0	0	1	5	2	1	30	5	34	5	0	0	0	0	0		0		0		0		255	255	183
201	大王真弱	給抓住大王醜八怪的冒險家的稱號。	1		145	16	0	0	0	0	0	1	5	2	1	14	4	0	0	0	0	0	0	0		0		0		0		255	255	183
210	大王殺手	給抓住大王醜八怪的冒險家(攻擊型)的稱號。	1		145	16	0	0	0	0	0	1	5	2	1	14	7	90	2	22	-3	0	0	0		0		0		0		255	255	183
202	蝙蝠獵人	給稱霸貝羅斯地下城的獵人的稱號。	1		145	16	0	0	0	0	0	1	5	2	1	156	16	0	0	0	0	0	0	0		0		0		0		255	255	183
301	連魔王也抓住了	給抓住艾利亞斯地下城的醜八怪大王的人的稱號。	1		145	16	0	0	0	0	0	1	5	2	1	14	3	18	3	0	0	0	0	0		0		0		0		255	255	183
310	爽快的法師	給抓住艾利亞斯地下城的醜八怪大王的人(魔法型)的稱號。	1		145	16	0	0	0	0	0	1	5	2	1	22	8	35	2	14	-4	0	0	0		0		0		0		255	255	183
303	心地善良的人	在艾利亞斯稱呼愉快幫助他人的冒險家的名稱。	1		145	16	0	0	0	0	0	1	5	2	1	128	30	0	0	0	0	0	0	0		0		0		0		255	255	183
401	義俠	很有義氣的俠士。 受到龍京市民的尊敬。	1		145	16	0	0	0	0	0	1	5	2	1	26	6	0	0	0	0	0	0	0		0		0		0		255	255	183
410	鐵壁虎王	稱呼替龍京市民獵殺白虎和黑虎的英雄(防禦型)的稱號。	1		145	16	0	0	0	0	0	1	5	2	1	26	8	31	5	18	-2	0	0	0		0		0		0		255	255	183
403	初戰搏殺	給輕易就成功獵殺老虎BOSS的人的帥氣稱號。	1		145	16	0	0	0	0	0	1	5	2	1	66	2	62	2	0	0	0	0	0		0		0		0		255	255	183
501	達人	再也不害怕黑月城忍者的境地。	1		145	16	0	0	0	0	0	1	5	2	1	14	2	26	2	22	2	18	2	0		0		0		0		255	255	183
510	忍者大師	超越黑月城忍者們的冒險家(探索型)。	1		145	16	0	0	0	0	0	1	5	2	1	18	10	106	3	26	-5	0	0	0		0		0		0		255	255	183
502	鬼武士算什麼	給打倒黑月城鬼武士的人的稱號。	1		145	16	0	0	0	0	0	1	5	2	1	31	4	35	4	0	0	0	0	0		0		0		0		255	255	183
503	時尚領導人	奧亦奇的時尚領導人! Yeah!	1		145	16	0	0	0	0	0	1	5	2	1	18	3	22	3	0	0	0	0	0		0		0		0		255	255	183
19	連特沃夫都自嘆不如的人	不管是礦山的哪裡,都沒有我不知道的地方。	1		145	16	0	0	0	0	0	1	5	2	1	18	3	22	3	0	0	0	0	0		0		0		0		255	255	183
21	鐵鍬達人	講到鐵鍬非我莫屬。	1		145	16	0	0	0	0	0	1	5	2	1	18	3	22	3	0	0	0	0	0		0		0		0		255	255	183
22	大王殺手	把名字裡面有王的通通都打倒。	1		145	16	0	0	0	0	0	1	5	2	1	18	3	22	3	0	0	0	0	0		0		0		0		255	255	183
810	(男)，抒情王子	歌唱大賽活動	1		145	16	0	0	0	0	0	1	5	2	1	55	30	0	0	0	0	0	0	0		0		0		0		255	255	183
811	(女)，人氣公主	歌唱大賽活動	1		145	16	0	0	0	0	0	1	5	2	1	55	30	0	0	0	0	0	0	0		0		0		0		255	255	183
812	剪刀石頭布大王	猜拳活動	1		145	16	0	0	0	0	0	1	5	2	1	128	20	0	0	0	0	0	0	0		0		0		0		255	255	183
813	彩虹島智多星	彩虹島智多星活動	1		145	16	0	0	0	0	0	1	5	2	1	31	5	0	0	0	0	0	0	0		0		0		0		255	255	183
814	彩虹島幸運星	彩虹島智多星活動	1		145	16	0	0	0	0	0	1	5	2	1	19	5	0	0	0	0	0	0	0		0		0		0		255	255	183
815	牛郎星	7.7七夕活動	1		145	16	0	0	0	0	0	1	5	2	1	59	30	0	0	0	0	0	0	0		0		0		0		255	255	183
816	織女星	7.7七夕活動	1		145	16	0	0	0	0	0	1	5	2	1	59	30	0	0	0	0	0	0	0		0		0		0		255	255	183
608	收集大師		1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
904	製作大師	在製作的國度裡擁有最強實力的匠人。	1		145	16	0	0	0	0	0	1	5	2	1	384	2	0	0	0	0	0	0	0		0		0		0		255	255	183
905	金女士玩彩虹島~	為了讓金女士玩彩虹島的稱號~	1		145	16	0	0	0	0	0	1	5	2	1	164	2	158	2	106	5	0	0	0		0		0		0		255	255	183
906	我最厲害~!	瞧你們一副沒出息的樣子!果然還是我最棒了!!! 呼~	1		145	16	0	0	0	0	0	1	5	2	1	156	20	162	20	106	10	0	0	0		0		0		0		255	255	183
